"date","n"
2020-01-01,37
2020-01-02,1331
2020-01-03,1456
2020-01-04,0
2020-01-05,1
2020-01-06,1964
2020-01-07,1714
2020-01-08,1548
2020-01-09,2018
2020-01-10,1592
2020-01-11,0
2020-01-12,0
2020-01-13,2471
2020-01-14,2039
2020-01-15,1934
2020-01-16,1452
2020-01-17,2358
2020-01-18,0
2020-01-19,1
2020-01-20,2858
2020-01-21,2128
2020-01-22,1642
2020-01-23,2110
2020-01-24,1749
2020-01-25,0
2020-01-26,0
2020-01-27,2478
2020-01-28,2286
2020-01-29,1516
2020-01-30,1500
2020-01-31,1542
2020-02-01,5
2020-02-02,0
2020-02-03,2600
2020-02-04,2261
2020-02-05,2204
2020-02-06,2231
2020-02-07,2038
2020-02-08,0
2020-02-09,0
2020-02-10,2720
2020-02-11,2352
2020-02-12,2152
2020-02-13,2224
2020-02-14,2126
2020-02-15,449
2020-02-16,0
2020-02-17,1898
2020-02-18,1920
2020-02-19,1933
2020-02-20,1999
2020-02-21,1736
2020-02-22,0
2020-02-23,0
2020-02-24,2312
2020-02-25,2421
2020-02-26,2555
2020-02-27,1692
2020-02-28,1843
2020-02-29,0
2020-03-01,20
2020-03-02,2214
2020-03-03,1901
2020-03-04,2242
2020-03-05,1710
2020-03-06,1637
2020-03-07,0
2020-03-08,1
2020-03-09,2777
2020-03-10,2171
2020-03-11,2361
2020-03-12,2282
2020-03-13,1409
2020-03-14,1
2020-03-15,2
2020-03-16,1817
2020-03-17,1783
2020-03-18,2280
2020-03-19,1527
2020-03-20,1407
2020-03-21,0
2020-03-22,0
2020-03-23,1344
2020-03-24,1384
2020-03-25,1458
2020-03-26,1060
2020-03-27,800
2020-03-28,0
2020-03-29,0
2020-03-30,1556
2020-03-31,1406
2020-04-01,1376
2020-04-02,1289
2020-04-03,1117
2020-04-04,0
2020-04-05,0
2020-04-06,1471
2020-04-07,1359
2020-04-08,933
2020-04-09,1122
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,1397
2020-04-15,1554
2020-04-16,1986
2020-04-17,1424
2020-04-18,0
2020-04-19,0
2020-04-20,1652
2020-04-21,1402
2020-04-22,1390
2020-04-23,1040
2020-04-24,1143
2020-04-25,0
2020-04-26,0
2020-04-27,1757
2020-04-28,1573
2020-04-29,1687
2020-04-30,1319
2020-05-01,1425
2020-05-02,0
2020-05-03,0
2020-05-04,1679
2020-05-05,1602
2020-05-06,1816
2020-05-07,1739
2020-05-08,3
2020-05-09,0
2020-05-10,0
2020-05-11,2326
2020-05-12,1847
2020-05-13,1754
2020-05-14,1741
2020-05-15,1950
2020-05-16,0
2020-05-17,0
2020-05-18,1964
2020-05-19,2072
2020-05-20,2084
2020-05-21,1636
2020-05-22,1652
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,2897
2020-05-27,2695
2020-05-28,2069
2020-05-29,1999
2020-05-30,1784
2020-05-31,1
2020-06-01,1425
2020-06-02,2066
2020-06-03,2458
2020-06-04,1935
2020-06-05,2226
2020-06-06,0
2020-06-07,0
2020-06-08,3151
2020-06-09,2908
2020-06-10,1817
2020-06-11,2539
2020-06-12,2215
2020-06-13,1695
2020-06-14,0
2020-06-15,2141
2020-06-16,1917
2020-06-17,1948
2020-06-18,1978
2020-06-19,2372
2020-06-20,1943
2020-06-21,0
2020-06-22,2302
2020-06-23,1936
2020-06-24,1983
2020-06-25,1906
2020-06-26,1548
2020-06-27,0
2020-06-28,0
2020-06-29,2728
2020-06-30,2889
2020-07-01,2563
2020-07-02,2373
2020-07-03,1892
2020-07-04,1040
2020-07-05,1121
2020-07-06,2375
2020-07-07,2007
2020-07-08,2161
2020-07-09,2000
2020-07-10,2192
2020-07-11,1
2020-07-12,0
2020-07-13,2639
2020-07-14,2581
2020-07-15,2559
2020-07-16,1958
2020-07-17,1937
2020-07-18,0
2020-07-19,1648
2020-07-20,1901
2020-07-21,2129
2020-07-22,1980
2020-07-23,2233
2020-07-24,1951
2020-07-25,1
2020-07-26,0
2020-07-27,2866
2020-07-28,2528
2020-07-29,2669
2020-07-30,2314
2020-07-31,1770
2020-08-01,373
2020-08-02,1335
2020-08-03,1679
2020-08-04,2127
2020-08-05,2388
2020-08-06,2005
2020-08-07,1812
2020-08-08,0
2020-08-09,1
2020-08-10,2231
2020-08-11,2158
2020-08-12,2012
2020-08-13,2058
2020-08-14,1983
2020-08-15,2
2020-08-16,1165
2020-08-17,2173
2020-08-18,2294
2020-08-19,2244
2020-08-20,1836
2020-08-21,2089
2020-08-22,0
2020-08-23,0
2020-08-24,2588
2020-08-25,2223
2020-08-26,2096
2020-08-27,2065
2020-08-28,1942
2020-08-29,28
2020-08-30,0
2020-08-31,2336
2020-09-01,1871
2020-09-02,2008
2020-09-03,2224
2020-09-04,2192
2020-09-05,0
2020-09-06,1
2020-09-07,2672
2020-09-08,2323
2020-09-09,2343
2020-09-10,1982
2020-09-11,1582
2020-09-12,223
2020-09-13,2061
2020-09-14,1466
2020-09-15,1864
2020-09-16,2156
2020-09-17,2176
2020-09-18,2503
2020-09-19,0
2020-09-20,2
2020-09-21,2988
2020-09-22,2208
2020-09-23,2334
2020-09-24,2303
2020-09-25,2625
2020-09-26,0
2020-09-27,0
2020-09-28,2917
2020-09-29,2035
2020-09-30,2988
2020-10-01,3503
2020-10-02,3670
2020-10-03,1198
2020-10-04,1626
2020-10-05,3176
2020-10-06,2966
2020-10-07,2913
2020-10-08,2669
2020-10-09,2636
2020-10-10,0
2020-10-11,0
2020-10-12,3265
2020-10-13,3313
2020-10-14,3407
2020-10-15,3221
2020-10-16,2554
2020-10-17,0
2020-10-18,0
2020-10-19,3202
2020-10-20,2435
2020-10-21,2785
2020-10-22,2912
2020-10-23,2953
2020-10-24,2
2020-10-25,0
2020-10-26,3190
2020-10-27,3398
2020-10-28,2793
2020-10-29,2787
2020-10-30,2617
2020-10-31,1
2020-11-01,22
2020-11-02,4030
2020-11-03,2914
2020-11-04,3334
2020-11-05,2848
2020-11-06,2358
2020-11-07,1
2020-11-08,0
2020-11-09,3242
2020-11-10,2779
2020-11-11,3312
2020-11-12,2707
2020-11-13,3182
2020-11-14,0
2020-11-15,3600
2020-11-16,2601
2020-11-17,2579
2020-11-18,2847
2020-11-19,2951
2020-11-20,2929
2020-11-21,0
2020-11-22,0
2020-11-23,3028
2020-11-24,2929
2020-11-25,2458
2020-11-26,2459
2020-11-27,2810
2020-11-28,6
2020-11-29,0
2020-11-30,3153
2020-12-01,3151
2020-12-02,3071
2020-12-03,2527
2020-12-04,2535
2020-12-05,0
2020-12-06,2872
2020-12-07,2608
2020-12-08,2330
2020-12-09,3021
2020-12-10,2014
2020-12-11,2454
2020-12-12,0
2020-12-13,0
2020-12-14,2824
2020-12-15,2366
2020-12-16,2602
2020-12-17,2689
2020-12-18,2447
2020-12-19,265
2020-12-20,0
2020-12-21,2867
2020-12-22,2241
2020-12-23,2255
2020-12-24,1528
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,2503
2020-12-30,3114
2020-12-31,2317
2021-01-01,68
2021-01-02,105
2021-01-03,0
2021-01-04,3630
2021-01-05,3232
2021-01-06,3554
2021-01-07,2315
2021-01-08,2796
2021-01-09,0
2021-01-10,0
2021-01-11,3550
2021-01-12,2953
2021-01-13,3080
2021-01-14,2772
2021-01-15,2616
2021-01-16,0
2021-01-17,1
2021-01-18,4267
2021-01-19,2989
2021-01-20,3328
2021-01-21,2745
2021-01-22,2198
2021-01-23,0
2021-01-24,52
2021-01-25,4254
2021-01-26,2961
2021-01-27,3232
2021-01-28,2625
2021-01-29,2622
2021-01-30,101
2021-01-31,0
2021-02-01,3567
2021-02-02,3180
2021-02-03,3318
2021-02-04,2866
2021-02-05,2680
2021-02-06,97
2021-02-07,0
2021-02-08,3897
2021-02-09,3646
2021-02-10,3568
2021-02-11,3280
2021-02-12,2097
2021-02-13,0
2021-02-14,0
2021-02-15,2872
2021-02-16,3503
2021-02-17,3217
2021-02-18,3125
2021-02-19,2918
2021-02-20,0
2021-02-21,0
2021-02-22,3146
2021-02-23,2971
2021-02-24,3862
2021-02-25,3929
2021-02-26,2898
2021-02-27,2866
2021-02-28,0
2021-03-01,3394
2021-03-02,3454
2021-03-03,3192
2021-03-04,2809
2021-03-05,3199
2021-03-06,0
2021-03-07,0
2021-03-08,3719
2021-03-09,2850
2021-03-10,2836
2021-03-11,3399
2021-03-12,3590
2021-03-13,52
2021-03-14,1
2021-03-15,4200
2021-03-16,3328
2021-03-17,2497
2021-03-18,2669
2021-03-19,3110
2021-03-20,2
2021-03-21,1839
2021-03-22,3438
2021-03-23,2715
2021-03-24,3163
2021-03-25,2547
2021-03-26,3213
2021-03-27,0
2021-03-28,1989
2021-03-29,4044
2021-03-30,2924
2021-03-31,3069
2021-04-01,3100
2021-04-02,0
2021-04-03,3195
2021-04-04,0
2021-04-05,1
2021-04-06,3472
2021-04-07,3559
2021-04-08,4034
2021-04-09,3476
2021-04-10,0
2021-04-11,0
2021-04-12,3179
2021-04-13,2577
2021-04-14,3541
2021-04-15,3376
2021-04-16,3039
2021-04-17,0
2021-04-18,0
2021-04-19,3935
2021-04-20,2426
2021-04-21,2763
2021-04-22,2497
2021-04-23,2676
2021-04-24,0
2021-04-25,0
2021-04-26,3592
2021-04-27,3415
2021-04-28,3131
2021-04-29,2924
2021-04-30,2446
2021-05-01,16
2021-05-02,0
2021-05-03,2263
2021-05-04,3756
2021-05-05,2843
2021-05-06,2443
2021-05-07,2446
2021-05-08,0
2021-05-09,0
2021-05-10,3002
2021-05-11,3792
2021-05-12,2958
2021-05-13,3165
2021-05-14,4384
2021-05-15,301
2021-05-16,1923
2021-05-17,3184
2021-05-18,2592
2021-05-19,2358
2021-05-20,2940
2021-05-21,2342
2021-05-22,0
2021-05-23,0
2021-05-24,3359
2021-05-25,2621
2021-05-26,3042
2021-05-27,2837
2021-05-28,2722
2021-05-29,0
2021-05-30,0
2021-05-31,1532
2021-06-01,3296
2021-06-02,2542
2021-06-03,2479
2021-06-04,2329
2021-06-05,0
2021-06-06,0
2021-06-07,3688
2021-06-08,2820
2021-06-09,2451
2021-06-10,2832
2021-06-11,2173
2021-06-12,0
2021-06-13,0
2021-06-14,2955
2021-06-15,2983
2021-06-16,2424
2021-06-17,2591
2021-06-18,2738
2021-06-19,224
2021-06-20,265
2021-06-21,3406
2021-06-22,2327
2021-06-23,2202
2021-06-24,2315
2021-06-25,2700
2021-06-26,216
2021-06-27,262
2021-06-28,2879
2021-06-29,2592
2021-06-30,2486
2021-07-01,2878
2021-07-02,2009
2021-07-03,389
2021-07-04,396
2021-07-05,3292
2021-07-06,2466
2021-07-07,2328
2021-07-08,2541
2021-07-09,2838
2021-07-10,63
2021-07-11,0
2021-07-12,2279
2021-07-13,2528
2021-07-14,2176
2021-07-15,2812
2021-07-16,2223
2021-07-17,195
2021-07-18,222
2021-07-19,2978
2021-07-20,2470
2021-07-21,2049
2021-07-22,2714
2021-07-23,2659
2021-07-24,262
2021-07-25,254
2021-07-26,2488
2021-07-27,2577
2021-07-28,2537
2021-07-29,2570
2021-07-30,2495
2021-07-31,269
2021-08-01,321
2021-08-02,2597
2021-08-03,1589
2021-08-04,2937
2021-08-05,2676
2021-08-06,2814
2021-08-07,281
2021-08-08,304
2021-08-09,3063
2021-08-10,2082
2021-08-11,2393
2021-08-12,2744
2021-08-13,2409
2021-08-14,201
2021-08-15,249
2021-08-16,2740
2021-08-17,2554
2021-08-18,2432
2021-08-19,2139
2021-08-20,2051
2021-08-21,0
2021-08-22,0
2021-08-23,3411
2021-08-24,3105
2021-08-25,2824
2021-08-26,2364
2021-08-27,2201
2021-08-28,207
2021-08-29,223
2021-08-30,1696
2021-08-31,2823
2021-09-01,2969
2021-09-02,2263
2021-09-03,2328
2021-09-04,243
2021-09-05,303
2021-09-06,2944
2021-09-07,2654
2021-09-08,2865
2021-09-09,2230
2021-09-10,2929
2021-09-11,290
2021-09-12,273
2021-09-13,2749
2021-09-14,3392
2021-09-15,2855
2021-09-16,2862
2021-09-17,2475
2021-09-18,246
2021-09-19,301
2021-09-20,2588
2021-09-21,3078
2021-09-22,2600
2021-09-23,2626
2021-09-24,2676
2021-09-25,255
2021-09-26,290
2021-09-27,2806
2021-09-28,3166
2021-09-29,2829
2021-09-30,3366
2021-10-01,2543
2021-10-02,244
2021-10-03,294
2021-10-04,3103
2021-10-05,2869
2021-10-06,2801
2021-10-07,2197
2021-10-08,2242
2021-10-09,259
2021-10-10,260
2021-10-11,2338
2021-10-12,3001
2021-10-13,2674
2021-10-14,3284
2021-10-15,2560
2021-10-16,249
2021-10-17,272
2021-10-18,2950
2021-10-19,3464
2021-10-20,3378
2021-10-21,3587
2021-10-22,2921
2021-10-23,278
2021-10-24,266
2021-10-25,3467
2021-10-26,2534
2021-10-27,2627
2021-10-28,2600
2021-10-29,2724
2021-10-30,247
2021-10-31,324
2021-11-01,3648
2021-11-02,3212
2021-11-03,2831
2021-11-04,1737
2021-11-05,2904
2021-11-06,258
2021-11-07,215
2021-11-08,3234
2021-11-09,3375
2021-11-10,3030
2021-11-11,2645
2021-11-12,2763
2021-11-13,0
2021-11-14,558
2021-11-15,3134
2021-11-16,2644
2021-11-17,3104
2021-11-18,3295
2021-11-19,2498
2021-11-20,245
2021-11-21,314
2021-11-22,3107
2021-11-23,2677
2021-11-24,2658
2021-11-25,2291
2021-11-26,2747
2021-11-27,267
2021-11-28,276
2021-11-29,3196
2021-11-30,2658
2021-12-01,2366
2021-12-02,2113
2021-12-03,3379
2021-12-04,327
2021-12-05,269
2021-12-06,3086
2021-12-07,2670
2021-12-08,2797
2021-12-09,2287
2021-12-10,2698
2021-12-11,270
2021-12-12,270
2021-12-13,3140
2021-12-14,3012
2021-12-15,2458
2021-12-16,1830
2021-12-17,2232
2021-12-18,246
2021-12-19,245
2021-12-20,2455
2021-12-21,2513
2021-12-22,2641
2021-12-23,1979
2021-12-24,1224
2021-12-25,118
2021-12-26,152
2021-12-27,359
2021-12-28,463
2021-12-29,2510
2021-12-30,1779
2021-12-31,1262
2022-01-01,337
2022-01-02,310
2022-01-03,609
2022-01-04,3063
2022-01-05,3182
2022-01-06,2202
2022-01-07,2432
2022-01-08,392
2022-01-09,444
2022-01-10,3554
2022-01-11,3324
2022-01-12,3003
2022-01-13,2752
2022-01-14,2701
2022-01-15,412
2022-01-16,344
2022-01-17,3369
2022-01-18,3125
2022-01-19,2998
2022-01-20,3042
2022-01-21,2515
2022-01-22,491
2022-01-23,536
2022-01-24,3247
2022-01-25,2958
2022-01-26,3378
2022-01-27,2390
2022-01-28,2920
2022-01-29,474
2022-01-30,504
2022-01-31,3254
2022-02-01,3054
2022-02-02,3390
2022-02-03,3321
2022-02-04,2951
2022-02-05,492
2022-02-06,463
2022-02-07,2942
2022-02-08,3545
2022-02-09,3181
2022-02-10,3209
2022-02-11,3213
2022-02-12,452
2022-02-13,498
2022-02-14,3500
2022-02-15,2847
2022-02-16,3484
2022-02-17,2708
2022-02-18,2993
2022-02-19,431
2022-02-20,519
2022-02-21,3366
2022-02-22,3318
2022-02-23,2958
2022-02-24,3178
2022-02-25,2798
2022-02-26,302
2022-02-27,336
2022-02-28,2538
