"date","ni","day"
2020-01-01,36,"Wed"
2020-01-02,1898,"Thu"
2020-01-03,2047,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2884,"Mon"
2020-01-07,2313,"Tue"
2020-01-08,2072,"Wed"
2020-01-09,2742,"Thu"
2020-01-10,2224,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,3527,"Mon"
2020-01-14,2812,"Tue"
2020-01-15,2600,"Wed"
2020-01-16,1940,"Thu"
2020-01-17,3150,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3899,"Mon"
2020-01-21,2739,"Tue"
2020-01-22,2136,"Wed"
2020-01-23,2698,"Thu"
2020-01-24,2310,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,3402,"Mon"
2020-01-28,3076,"Tue"
2020-01-29,1987,"Wed"
2020-01-30,1982,"Thu"
2020-01-31,2008,"Fri"
2020-02-01,6,"Sat"
2020-02-02,0,NA
2020-02-03,3543,"Mon"
2020-02-04,2985,"Tue"
2020-02-05,2806,"Wed"
2020-02-06,2842,"Thu"
2020-02-07,2574,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,3601,"Mon"
2020-02-11,3003,"Tue"
2020-02-12,2739,"Wed"
2020-02-13,2871,"Thu"
2020-02-14,2763,"Fri"
2020-02-15,561,"Sat"
2020-02-16,0,NA
2020-02-17,2574,"Mon"
2020-02-18,2552,"Tue"
2020-02-19,2523,"Wed"
2020-02-20,2559,"Thu"
2020-02-21,2261,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2995,"Mon"
2020-02-25,3161,"Tue"
2020-02-26,3273,"Wed"
2020-02-27,2193,"Thu"
2020-02-28,2400,"Fri"
2020-02-29,0,NA
2020-03-01,18,"Sun"
2020-03-02,3159,"Mon"
2020-03-03,2559,"Tue"
2020-03-04,3011,"Wed"
2020-03-05,2284,"Thu"
2020-03-06,2225,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,3868,"Mon"
2020-03-10,3042,"Tue"
2020-03-11,3229,"Wed"
2020-03-12,3085,"Thu"
2020-03-13,1889,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,2537,"Mon"
2020-03-17,2484,"Tue"
2020-03-18,3106,"Wed"
2020-03-19,2081,"Thu"
2020-03-20,1958,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1989,"Mon"
2020-03-24,1921,"Tue"
2020-03-25,2092,"Wed"
2020-03-26,1490,"Thu"
2020-03-27,1172,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,2337,"Mon"
2020-03-31,2033,"Tue"
2020-04-01,2002,"Wed"
2020-04-02,1834,"Thu"
2020-04-03,1583,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,2321,"Mon"
2020-04-07,1955,"Tue"
2020-04-08,1406,"Wed"
2020-04-09,1636,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,2040,"Tue"
2020-04-15,2321,"Wed"
2020-04-16,2794,"Thu"
2020-04-17,2141,"Fri"
2020-04-18,1,"Sat"
2020-04-19,0,NA
2020-04-20,2490,"Mon"
2020-04-21,2097,"Tue"
2020-04-22,2013,"Wed"
2020-04-23,1514,"Thu"
2020-04-24,1601,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,2614,"Mon"
2020-04-28,2258,"Tue"
2020-04-29,2396,"Wed"
2020-04-30,1914,"Thu"
2020-05-01,1976,"Fri"
2020-05-02,0,NA
2020-05-03,0,NA
2020-05-04,2556,"Mon"
2020-05-05,2358,"Tue"
2020-05-06,2592,"Wed"
2020-05-07,2401,"Thu"
2020-05-08,3,"Fri"
2020-05-09,0,NA
2020-05-10,0,NA
2020-05-11,3560,"Mon"
2020-05-12,2682,"Tue"
2020-05-13,2696,"Wed"
2020-05-14,2584,"Thu"
2020-05-15,2837,"Fri"
2020-05-16,0,NA
2020-05-17,0,NA
2020-05-18,3028,"Mon"
2020-05-19,3141,"Tue"
2020-05-20,3108,"Wed"
